# walkers = all; burn = 0; skip = 450
-1.375735884405155263e+00 9.443719729941872920e-01 -1.771616392794945982e+00 4.844313082401875414e-01 -1.169258495529990949e+00 -4.763391051164650447e-01 -1.660696025823384936e+00 1.615183974047971871e+00 7.313570637530896201e-01
-1.523833033321362329e+00 1.447009759995089073e+00 -2.590351695402701715e-01 1.413506193568056180e+00 -1.856175709125695183e+00 1.183420911196880532e+00 -1.273592297647500260e+00 1.104840817213528892e+00 7.653135543897280346e-01
-7.623751068804893727e-01 5.206253430705657381e-01 -1.080603804293618797e+00 1.237304235180030743e+00 -1.900606992598630862e+00 -1.085829343099502520e-01 -9.962321074872121374e-01 8.700622875806081069e-01 6.201267397257717029e-01
-9.497080286657499926e-02 1.050810570848613956e+00 -2.152038548351653091e+00 1.380672903272052388e+00 -2.520927853387697759e+00 7.746501264396921105e-02 -1.277962103943909744e+00 1.075077059890974240e+00 8.098264143052023023e-01
-3.579943745542699673e-01 9.142667654157519141e-01 -2.554405078528279915e+00 1.244844345324163770e+00 -2.046428196975810021e+00 -2.786357578631828424e-01 -1.339990565535976064e+00 1.168134210894963942e+00 7.855095148314623632e-01
-1.381063294675044517e-01 1.462908074176108464e+00 -3.399798816006086355e+00 6.814249443920636917e-01 -2.053607216298847682e+00 -9.741268465324706138e-01 -1.293710672660442373e+00 8.724229787893060806e-01 1.138223625407613682e+00
1.125164181977615696e+00 3.315405267109463594e-01 -1.769164382697355986e+00 -2.364478839394316800e+00 -8.558259368969634018e-01 -4.888275919066892294e-01 -1.445320211216843287e+00 1.041892765564187417e+00 1.123569061549981596e+00
4.218824029143490861e-01 -3.480864933238776437e-01 -5.077402929075574001e-01 6.659355314786230551e-02 -8.864128495547539677e-01 -7.437120589819337102e-01 -1.124779236634730228e+00 8.114767946030588819e-01 9.277083033549714530e-01
2.531887792440263851e-01 -3.723403155437121637e-02 -8.179119773368204172e-01 -6.161740420238659421e-02 -1.134892455650992282e+00 -1.172242638801014980e+00 -9.866566935405701733e-01 8.557349961467718424e-01 6.200741477347753161e-01
1.540974417293273335e+00 -5.355192136654185475e-02 -1.554953678617004620e+00 -9.353904457897321834e-01 -1.183282961880918638e+00 -3.008294809367940026e+00 -1.007604189201754208e+00 9.753129128312858498e-01 4.977094373355244183e-01
1.425393792638219193e+00 -1.831757187201599191e-01 -2.179560244413181191e+00 -2.058524527135467519e+00 -7.523307329726536263e-01 -3.610591247864913367e+00 -9.728790503514146426e-01 1.007198445859736058e+00 4.002899010311130046e-01
1.020647634188412978e+00 9.865089126429804622e-02 -2.725310003861661112e+00 -2.244922883057014040e+00 -8.942482383403626001e-01 -4.113184177347489978e+00 -1.101649055623101781e+00 1.111419589366857918e+00 4.847570558361736781e-01
1.854523369571746905e+00 -3.202487455546644823e-01 -3.233088512789622726e+00 -3.122299467382232407e+00 -7.244655226052771901e-01 -4.503247818756660692e+00 -1.300359493563621793e+00 1.085270306706605403e+00 8.294416192444074021e-01
