# walkers = all; burn = 0; skip = 300
-6.439569419932305028e-01 -3.916282042739616664e-01 2.544623143860048398e+00 5.454331276487833779e-01 -4.126428720441245979e+00 -2.310957671713782524e+00 3.159083640935536012e-03 -5.099752519836547870e-03 1.319426480285421522e-03
-6.531840386313427782e-01 -3.683345296911675337e-01 2.513024402412633584e+00 5.586325823821958192e-01 -4.139738166261080821e+00 -2.347447704111863764e+00 3.166114210900740703e-03 -5.109802705539487171e-03 1.321579928010696960e-03
-6.612282093240544611e-01 -2.287382052406141675e-01 2.629658911994263271e+00 5.983173090699627217e-01 -4.108310257045051372e+00 -2.613114846624318588e+00 3.360196216706816310e-03 -5.537454762224482997e-03 1.582199773166116045e-03
-6.611871199699436152e-01 -2.288587662044014870e-01 2.629624730812962774e+00 5.982389476108604942e-01 -4.108310133196066083e+00 -2.612959087938004465e+00 3.360178187479823456e-03 -5.537403956437185297e-03 1.582159659464020584e-03
-2.377492180948741485e-01 -1.286547756079719385e+00 1.492100859566234838e+00 6.872074370740774985e-01 -4.271421333846063817e+00 -2.458299156876905478e+00 2.977493718386480838e-03 -4.649014495187246167e-03 1.008599450610549089e-03
5.340707482248414628e-01 -4.897641711438618373e+00 1.124328399336881334e-01 -6.527089336772691208e-01 -5.719196403574025034e+00 4.578496635987402419e-01 1.072812118122871321e-03 -1.878331774629725826e-04 -1.922304827749993228e-03
7.787319520791587957e-01 -4.346819873203852325e+00 -3.767626273858384334e-01 3.295386875071964483e-01 -5.934908487552037037e+00 7.863579078737170658e-02 1.577964890016052453e-03 -1.228234526001317512e-03 -1.343772499295319304e-03
-1.471842099778887025e+00 2.891105101434785496e-01 1.795656585245855252e+00 -1.068382370296582229e+00 -4.345930415562045290e+00 1.344535334896045820e+00 2.592448143157473524e-03 -3.638499732967132201e-03 2.563863292923472363e-04
-1.567644715294613800e+00 2.657984266096145021e-01 1.607482478502585410e+00 -7.958459203694268069e-01 -4.406503320877933838e+00 1.095884260814740108e+00 2.222612185920363852e-03 -2.855142113448520293e-03 -1.939661391437605929e-04
-1.221899712262917381e+00 -6.502102865969022760e-01 -3.975973876999550072e-02 -4.810096337494895735e-01 -4.606080607391616510e+00 2.196366404527031690e+00 2.188747421155909194e-03 -2.758979475213019054e-03 -2.675186279336287144e-04
-1.105060605651858374e+00 -8.839049779091715520e-01 -3.988838721541703713e-01 -5.482002517586226364e-01 -4.635660601609091991e+00 2.549475898129617946e+00 2.184645688874795998e-03 -2.738233529791419141e-03 -2.916785020563640064e-04
-1.132525054768733552e+00 -8.352866837941925748e-01 -2.996920255059709604e-01 -6.016614317695547776e-01 -4.605638101310108645e+00 2.571773968303718405e+00 2.151771175328750889e-03 -2.672270154630064423e-03 -3.273476556034627619e-04
-1.114535606754995190e+00 -1.451162611827585769e+00 -9.108963752688783444e-01 -1.876978465201926349e+00 -4.589137225876023685e+00 6.278330847607986875e-01 1.724552110654919545e-03 -1.691049257887835460e-03 -9.619853562709455245e-04
-2.975940144754525285e-01 -2.740349581505947096e+00 -1.616684614695721667e+00 -4.324322598531336936e+00 -3.816168262138986300e+00 1.052855756780452179e+00 1.996662006261383515e-03 -2.352410625317987152e-03 -5.187262710796441446e-04
