# T1bar = 140 K, He mass abu = 0.18, H mass abu = 0.82, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
2.8114376476e-001  3.4114378182e+003  1.3774419086e+001  5.3724454219e+001  5.03991658e-002   
3.1544849237e-001  3.5275456596e+003  1.7447989704e+001  5.9803411714e+001  5.03991658e-002   
3.5393902982e-001  3.6203146550e+003  2.1923781300e+001  6.6612919429e+001  5.03991658e-002   
3.9712612316e-001  3.6754653692e+003  2.7358132271e+001  7.4181700220e+001  5.03991658e-002   
4.4558283887e-001  3.7278004862e+003  3.4034507112e+001  8.2566802473e+001  5.03991658e-002   
4.9995216813e-001  3.7605904052e+003  4.2058132709e+001  9.1799264991e+001  5.03991658e-002   
5.3494945461e-001  3.7857000000e+003  4.7746155919e+001  9.7703056179e+001  5.03991658e-002   
5.6095555891e-001  3.8084481480e+003  5.2236549728e+001  1.0206123019e+002  5.03991658e-002   
6.2940248914e-001  3.9369052295e+003  6.6766093191e+001  1.1365366054e+002  5.03991658e-002   
7.0620120800e-001  4.1879489590e+003  8.7511026088e+001  1.2708110778e+002  5.03991658e-002   
7.2103860358e-001  4.2477000000e+003  9.2174504083e+001  1.2973917425e+002  5.03991658e-002   
7.9237078783e-001  4.6102226382e+003  1.1761331841e+002  1.4325274886e+002  5.03991658e-002   
8.2685676344e-001  4.7660000000e+003  1.3123666458e+002  1.4990236979e+002  5.03991658e-002   
8.8905464659e-001  5.1619520124e+003  1.5950631193e+002  1.6386494136e+002  5.03991658e-002   
9.2404581031e-001  5.3475000000e+003  1.7617754025e+002  1.7163887185e+002  5.03991658e-002   
9.9753572036e-001  5.8715950085e+003  2.1609491437e+002  1.9007651965e+002  5.03991658e-002   
1.0189213875e+000  6.0000000000e+003  2.2821156324e+002  1.9530433300e+002  5.03991658e-002   
1.1192534871e+000  6.6051216740e+003  2.8961518058e+002  2.1987509668e+002  5.03991658e-002   
1.1457813107e+000  6.7321000000e+003  3.0646546385e+002  2.2628758373e+002  5.03991658e-002   
1.2558230675e+000  7.2957366766e+003  3.8206469560e+002  2.5300650079e+002  5.03991658e-002   
1.3115333279e+000  7.5536000000e+003  4.2294290448e+002  2.6649879932e+002  5.03991658e-002   
1.4090566571e+000  8.0874436513e+003  5.0142858362e+002  2.9161091965e+002  5.03991658e-002   
1.4937265016e+000  8.4752000000e+003  5.7325659100e+002  3.1325270739e+002  5.03991658e-002   
1.5809875724e+000  8.9440206839e+003  6.5404409616e+002  3.3694929798e+002  5.03991658e-002   
1.7074882404e+000  9.5094000000e+003  7.7754998781e+002  3.7100269615e+002  5.03991658e-002   
1.7738972323e+000  9.8245624555e+003  8.4764245706e+002  3.8937528989e+002  5.03991658e-002   
1.9708895028e+000  1.0670000000e+004  1.0685826567e+003  4.4384667214e+002  5.03991658e-002   
1.9903454307e+000  1.0756135242e+004  1.0918787568e+003  4.4933298505e+002  5.03991658e-002   
2.2332043037e+000  1.1727898280e+004  1.3985984008e+003  5.1786405143e+002  5.03991658e-002   
2.2976339762e+000  1.1972000000e+004  1.4852391061e+003  5.3607477502e+002  5.03991658e-002   
2.5056964409e+000  1.2888706277e+004  1.7878241273e+003  5.9759761919e+002  5.03991658e-002   
2.6408882934e+000  1.3432000000e+004  1.9957397363e+003  6.3749059473e+002  5.03991658e-002   
2.8114376476e+000  1.4131134377e+004  2.2739168935e+003  6.8790192613e+002  5.03991658e-002   
3.0359777927e+000  1.5071000000e+004  2.6662420253e+003  7.5416550758e+002  5.03991658e-002   
3.1544849237e+000  1.5526464736e+004  2.8859531772e+003  7.8925780960e+002  5.03991658e-002   
3.5393902982e+000  1.6894624370e+004  3.6468250009e+003  9.0228424538e+002  5.03991658e-002   
