# T1bar = 165 K, He mass abu = 0.275, H mass abu = 0.725, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.4920578674e+000  1.0332747202e+004  5.2875242207e+002  2.9926925904e+002  5.26913650e-002   
1.5555181884e+000  1.0670000000e+004  5.8102016709e+002  3.1459500283e+002  5.26913650e-002   
1.6741164621e+000  1.1338753547e+004  6.8661980675e+002  3.4403842657e+002  5.26913650e-002   
1.8026138345e+000  1.1972000000e+004  8.0833002848e+002  3.7614393701e+002  5.26913650e-002   
1.8783895651e+000  1.2398966107e+004  8.8596227871e+002  3.9614658777e+002  5.26913650e-002   
2.0723498938e+000  1.3432000000e+004  1.0978381901e+003  4.4758478292e+002  5.26913650e-002   
2.1075877564e+000  1.3631641101e+004  1.1388590476e+003  4.5700976773e+002  5.26913650e-002   
2.3647523567e+000  1.4997990961e+004  1.4565144645e+003  5.2570579040e+002  5.26913650e-002   
2.3788623973e+000  1.5071000000e+004  1.4749157903e+003  5.2949909862e+002  5.26913650e-002   
2.6532957841e+000  1.6323833976e+004  1.8551592068e+003  6.0271993904e+002  5.26913650e-002   
2.7970828689e+000  1.6910000000e+004  2.0679016231e+003  6.4091744274e+002  5.26913650e-002   
2.9770468345e+000  1.7661542756e+004  2.3495740392e+003  6.8861906578e+002  5.26913650e-002   
3.2925664633e+000  1.8974000000e+004  2.8822579346e+003  7.7165249610e+002  5.26913650e-002   
3.3403014876e+000  1.9175652417e+004  2.9681804443e+003  7.8450458824e+002  5.26913650e-002   
3.7478799120e+000  2.0768201947e+004  3.7428218100e+003  8.9333529680e+002  5.26913650e-002   
3.9008847554e+000  2.1289000000e+004  4.0517966122e+003  9.3383047116e+002  5.26913650e-002   
4.2051904258e+000  2.2332900955e+004  4.7049046155e+003  1.0155858628e+003  5.26913650e-002   
4.6554723815e+000  2.3886000000e+004  5.7512275897e+003  1.1350468448e+003  5.26913650e-002   
4.7183012616e+000  2.4102792288e+004  5.9045921539e+003  1.1515553064e+003  5.26913650e-002   
5.2940210885e+000  2.5791013033e+004  7.3773390704e+003  1.3014120348e+003  5.26913650e-002   
5.6552952924e+000  2.6801000000e+004  8.3710275113e+003  1.3939974405e+003  5.26913650e-002   
5.9399893587e+000  2.7595255308e+004  9.1927475596e+003  1.4662858935e+003  5.26913650e-002   
6.6647776789e+000  2.9509016840e+004  1.1412632340e+004  1.6471176254e+003  5.26913650e-002   
6.8888162468e+000  3.0071000000e+004  1.2139294494e+004  1.7021393011e+003  5.26913650e-002   
7.4780035495e+000  3.2029841955e+004  1.4224346727e+004  1.8613523937e+003  5.26913650e-002   
7.9988520208e+000  3.3740000000e+004  1.6183018670e+004  1.9996632031e+003  5.26913650e-002   
8.3904579839e+000  3.5015826237e+004  1.7725001677e+004  2.1021074245e+003  5.26913650e-002   
9.2664935609e+000  3.7857000000e+004  2.1385368443e+004  2.3264958001e+003  5.26913650e-002   
9.4142486980e+000  3.8333814409e+004  2.2030513460e+004  2.3636841615e+003  5.26913650e-002   
1.0562960773e+001  4.2007058212e+004  2.7312589923e+004  2.6462267971e+003  5.26913650e-002   
1.0758715316e+001  4.2477000000e+004  2.8251738322e+004  2.6935166444e+003  5.26913650e-002   
1.1851836919e+001  4.4990620900e+004  3.3734440877e+004  2.9534877192e+003  5.26913650e-002   
1.3130305829e+001  4.7660000000e+004  4.0645668568e+004  3.2497458475e+003  5.26913650e-002   
1.3297979740e+001  4.8027253657e+004  4.1602767843e+004  3.2892164446e+003  5.26913650e-002   
1.4920578674e+001  5.1496181577e+004  5.1331561279e+004  3.6642946586e+003  5.26913650e-002   
1.5895432233e+001  5.3475000000e+004  5.7571270009e+004  3.8840350387e+003  5.26913650e-002   
1.6741164621e+001  5.5238790022e+004  6.3269390128e+004  4.0758576761e+003  5.26913650e-002   
1.8783895651e+001  5.9062695698e+004  7.7898794785e+004  4.5282176111e+003  5.26913650e-002   
1.9332875444e+001  6.0000000000e+004  8.2038897811e+004  4.6474764462e+003  5.26913650e-002   
2.1075877564e+001  6.3039784660e+004  9.5818951622e+004  5.0243738065e+003  5.26913650e-002   
2.3647523567e+001  6.7286622615e+004  1.1771324385e+005  5.5643457868e+003  5.26913650e-002   
2.3660582894e+001  6.7321000000e+004  1.1783209875e+005  5.5672433700e+003  5.26913650e-002   
2.6532957841e+001  7.1608431475e+004  1.4448740956e+005  6.1535069067e+003  5.26913650e-002   
2.9336652861e+001  7.5536000000e+004  1.7260392767e+005  6.7082923420e+003  5.26913650e-002   
2.9770468345e+001  7.6296701851e+004  1.7722365459e+005  6.7972705581e+003  5.26913650e-002   
3.3403014876e+001  8.2547456272e+004  2.1777664277e+005  7.5276080197e+003  5.26913650e-002   
3.4763813907e+001  8.4752000000e+004  2.3383086339e+005  7.7947257447e+003  5.26913650e-002   
3.7478799120e+001  8.9079310210e+004  2.6722714661e+005  8.3184415416e+003  5.26913650e-002   
4.2051904258e+001  9.5696003309e+004  3.2749171271e+005  9.1748233187e+003  5.26913650e-002   
